"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"111160101",1999,0,0,0,0,0,14,0,Aboim das Choças
"111160102",1999,0,0,0,0,0,20,0,Aguiã
"111160104",1999,0,0,0,0,0,8,0,Ázere
"111160105",1999,0,0,0,0,0,6,0,Cabana Maior
"111160106",1999,0,0,0,0,0,17,0,Cabreiro
"111160108",1999,0,0,0,0,0,17,0,Cendufe
"111160109",1999,0,0,0,0,0,14,0,Couto
"111160113",1999,0,0,0,0,0,4,0,Gavieira
"111160115",1999,0,0,0,0,0,39,0,Gondoriz
"111160121",1999,0,0,0,0,1,9,0,Miranda
"111160122",1999,0,0,1,0,1,13,0,Monte Redondo
"111160123",1999,1,0,0,2,1,13,0,Oliveira
"111160124",1999,0,1,1,0,2,39,7,Paçô
"111160125",1999,0,0,0,0,0,4,0,Padroso
"111160128",1999,0,0,0,0,0,19,0,Prozelo
"111160130",1999,0,0,0,0,1,20,0,Rio Frio
"111160131",1999,0,0,0,0,0,18,0,Rio de Moinhos
"111160133",1999,0,0,0,0,0,24,0,Sabadim
"111160142",1999,0,0,0,0,0,35,0,Jolda (São Paio)
"111160144",1999,0,0,0,0,0,5,0,Senharei
"111160145",1999,0,0,0,0,0,7,0,Sistelo
"111160146",1999,0,0,1,0,0,31,0,Soajo
"111160149",1999,0,0,0,0,1,22,0,Vale
"111160152",1999,0,0,0,0,0,20,0,União das freguesias de Alvora e Loureda
"111160153",1999,1,1,0,0,2,38,0,União das freguesias de Arcos de Valdevez (São Paio) e Giela
"111160154",1999,0,0,0,0,6,10,4,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
"111160155",1999,0,0,0,0,0,13,0,União das freguesias de Eiras e Mei
"111160156",1999,0,1,0,0,0,17,0,União das freguesias de Grade e Carralcova
"111160157",1999,0,1,2,0,2,24,0,União das freguesias de Guilhadeses e Santar
"111160158",1999,0,2,0,0,0,44,0,União das freguesias de Jolda (Madalena) e Rio Cabrão
"111160159",1999,0,1,1,0,0,36,0,União das freguesias de Padreiro (Salvador e Santa Cristina)
"111160160",1999,0,0,0,0,0,8,0,União das freguesias de Portela e Extremo
