"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops","region_name"
"112030252",1999,24,2,0,79,4,0,0,1,0,13,Moure
"112030254",1999,36,1,9,147,5,0,0,0,0,19,Oliveira
"112030255",1999,25,1,0,169,6,0,0,0,0,11,Palme
"112030256",1999,31,1,2,213,9,0,0,0,0,1,Panque
"112030257",1999,6,0,0,426,0,0,0,4,0,6,Paradela
"112030259",1999,6,1,0,80,3,0,0,0,1,7,Pereira
"112030260",1999,37,1,3,144,8,0,0,1,0,4,Perelhal
"112030261",1999,53,0,0,209,0,0,0,13,0,4,Pousa
"112030263",1999,12,1,1,273,8,0,0,0,0,7,Remelhe
"112030264",1999,25,1,4,566,5,0,0,0,0,20,Roriz
"112030265",1999,19,1,0,139,3,0,0,0,0,7,Rio Covo (Santa Eugénia)
"112030268",1999,30,1,7,104,4,0,0,0,0,4,Galegos (Santa Maria)
"112030272",1999,17,0,0,64,1,0,0,0,0,0,Galegos (São Martinho)
"112030277",1999,7,0,4,134,2,0,0,0,0,1,Tamel (São Veríssimo)
"112030279",1999,5,0,0,94,1,0,0,0,0,4,Silva
"112030282",1999,16,1,1,270,0,0,0,0,0,0,Ucha
"112030283",1999,10,1,1,118,4,0,0,1,0,8,Várzea
"112030287",1999,16,1,0,462,7,0,0,23,0,21,Vila Seca
"112030290",1999,56,6,6,212,8,0,0,0,1,37,União das freguesias de Alheira e Igreja Nova
"112030291",1999,26,1,5,315,4,0,0,0,0,8,União das freguesias de Alvito (São Pedro e São Martinho) e Couto
"112030292",1999,41,3,3,340,8,0,0,11,1,13,União das freguesias de Areias de Vilar e Encourados
"112030293",1999,10,1,0,374,6,0,0,2,0,2,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)"
"112030294",1999,31,2,0,252,4,0,0,0,0,6,União das freguesias de Campo e Tamel (São Pedro Fins)
"112030295",1999,23,1,0,483,4,0,0,0,1,1,União das freguesias de Carreira e Fonte Coberta
"112030296",1999,23,3,9,1647,17,0,0,5,0,26,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral"
"112030297",1999,47,1,2,198,11,0,0,0,2,29,União das freguesias de Creixomil e Mariz
"112030298",1999,26,3,3,78,3,0,0,1,0,2,União das freguesias de Durrães e Tregosa
"112030299",1999,24,3,0,205,4,0,0,0,0,10,União das freguesias de Gamil e Midões
"1120302FA",1999,20,1,0,690,12,0,0,10,1,6,"União das freguesias de Milhazes, Vilar de Figos e Faria"
"1120302FB",1999,12,2,2,615,8,0,0,1,0,28,União das freguesias de Negreiros e Chavão
"1120302FC",1999,15,1,1,250,6,0,0,0,0,23,União das freguesias de Quintiães e Aguiar
"1120302FD",1999,44,1,0,369,5,0,0,0,0,19,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)
"1120302FE",1999,33,3,3,425,13,0,0,0,1,15,União das freguesias de Silveiros e Rio Covo (Santa Eulália)
"1120302FF",1999,28,1,0,124,5,0,0,0,0,19,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte
"1120302FG",1999,13,2,2,1065,16,0,0,1,1,7,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães"
"1120302FH",1999,45,3,5,501,28,0,0,1,1,36,União das freguesias de Vila Cova e Feitos
"112030301",1999,173,2,0,291,15,0,0,7,1,4,Adaúfe
"112030312",1999,36,0,0,172,10,0,0,0,0,3,Espinho
"112030313",1999,53,0,1,103,0,0,0,4,2,19,Esporões
"112030315",1999,20,1,0,67,3,0,0,0,0,12,Figueiredo
"112030319",1999,12,1,0,13,5,0,0,0,0,0,Gualtar
"112030322",1999,26,0,1,42,0,0,0,2,0,6,Lamas
"112030325",1999,70,1,4,144,4,0,0,7,0,15,Mire de Tibães
"112030330",1999,68,0,0,63,0,0,0,7,0,1,Padim da Graça
"112030331",1999,74,3,0,109,0,0,0,12,0,21,Palmeira
"112030334",1999,22,0,11,339,8,0,0,0,0,0,Pedralva
"112030336",1999,72,0,0,179,0,0,0,2,0,15,Priscos
"112030338",1999,30,0,0,77,0,0,0,1,0,12,Ruilhe
"112030349",1999,2,1,0,2,2,0,0,0,0,1,Braga (São Vicente)
"112030351",1999,12,0,0,20,2,0,0,0,0,0,Braga (São Vítor)
"112030354",1999,57,0,0,136,1,0,0,0,0,18,Sequeira
"112030355",1999,29,1,0,169,12,0,0,0,0,5,Sobreposta
"112030356",1999,21,0,0,38,0,0,0,1,0,1,Tadim
"112030357",1999,40,1,0,59,1,0,0,2,0,1,Tebosa
"112030363",1999,31,0,1,315,3,0,0,2,1,9,União das freguesias de Arentim e Cunha
"112030364",1999,17,5,0,32,6,0,0,4,0,2,"União das freguesias de Braga (Maximinos, Sé e Cividade)"
"112030365",1999,0,0,0,0,0,0,0,0,0,0,União das freguesias de Braga (São José de São Lázaro e São João do Souto)
"112030366",1999,71,5,3,134,5,0,0,0,0,21,União das freguesias de Cabreiros e Passos (São Julião)
"112030367",1999,83,2,0,147,5,0,0,2,0,29,"União das freguesias de Celeirós, Aveleda e Vimieiro"
"112030368",1999,122,6,4,123,9,0,0,4,0,2,União das freguesias de Crespos e Pousada
"112030369",1999,79,1,1,277,11,0,0,4,0,27,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente)
"112030370",1999,41,2,5,69,8,0,0,1,0,24,União das freguesias de Este (São Pedro e São Mamede)
"112030371",1999,69,5,0,58,4,0,0,7,0,22,União das freguesias de Ferreiros e Gondizalves
"112030372",1999,27,1,0,100,5,0,0,0,0,4,União das freguesias de Guisande e Oliveira (São Pedro)
"112030373",1999,57,0,3,81,1,0,0,6,0,13,União das freguesias de Lomar e Arcos
"112030374",1999,104,4,0,161,7,0,0,10,0,23,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães"
"112030375",1999,82,4,3,166,4,0,0,3,0,21,União das freguesias de Merelim (São Pedro) e Frossos
"112030376",1999,53,1,0,109,4,0,0,2,1,17,União das freguesias de Morreira e Trandeiras
"112030377",1999,88,2,2,61,7,0,0,3,0,37,"União das freguesias de Nogueira, Fraião e Lamaçães"
"112030378",1999,31,1,0,34,6,0,0,1,0,0,União das freguesias de Nogueiró e Tenões
"112030379",1999,139,6,0,225,10,0,0,21,0,29,"União das freguesias de Real, Dume e Semelhe"
"112030380",1999,56,2,1,62,4,0,0,2,4,0,União das freguesias de Santa Lucrécia de Algeriz e Navarra
"112030381",1999,66,0,0,100,0,0,0,0,0,14,União das freguesias de Vilaça e Fradelos
"112030601",1999,46,2,1,174,14,0,0,15,0,14,Antas
"112030608",1999,57,1,3,148,14,0,0,1,0,13,Forjães
"112030610",1999,28,0,1,306,10,0,0,5,0,0,Gemeses
"112030615",1999,57,0,1,132,7,0,0,1,0,28,Vila Chã
"112030616",1999,77,2,0,271,12,0,0,202,0,15,União das freguesias de Apúlia e Fão
"112030617",1999,56,1,10,103,25,0,0,90,0,4,União das freguesias de Belinho e Mar
"112030618",1999,77,2,1,728,81,0,0,92,0,46,"União das freguesias de Esposende, Marinhas e Gandra"
"112030619",1999,34,3,0,907,29,0,0,47,0,25,União das freguesias de Fonte Boa e Rio Tinto
"112030620",1999,53,1,5,277,17,0,0,0,1,30,União das freguesias de Palmeira de Faro e Curvos
"112031001",1999,41,13,2,38,5,0,0,1,0,8,Balança
"112031003",1999,2,1,0,3,1,0,0,0,0,0,Campo do Gerês
"112031004",1999,17,5,0,18,4,0,0,0,0,2,Carvalheira
"112031008",1999,14,5,2,33,3,0,0,0,0,3,Covide
"112031009",1999,25,7,24,43,2,0,0,0,0,9,Gondoriz
"112031010",1999,30,11,8,41,1,0,0,0,0,0,Moimenta
"112031012",1999,16,6,0,16,4,0,0,0,0,4,Ribeira
"112031013",1999,46,15,13,65,2,0,0,0,0,5,Rio Caldo
"112031014",1999,44,8,0,32,5,0,0,0,0,10,Souto
"112031015",1999,41,12,2,27,1,0,0,0,0,0,Valdosende
"112031017",1999,24,7,1,43,2,0,0,0,0,3,Vilar da Veiga
"112031018",1999,51,18,57,109,4,0,0,1,0,17,União das freguesias de Chamoim e Vilar
"112031019",1999,91,29,11,105,5,0,0,0,0,9,União das freguesias de Chorense e Monte
"112031020",1999,32,10,36,128,4,0,0,0,0,7,União das freguesias de Cibões e Brufe
"112031304",1999,32,8,3,136,4,0,0,0,1,19,Atiães
"112031308",1999,125,1,3,148,0,0,0,0,0,0,Cabanelas
"112031309",1999,65,3,17,86,0,0,0,0,0,0,Cervães
"112031311",1999,48,1,1,112,4,0,0,1,0,1,Coucieiro
"112031313",1999,58,2,3,49,1,0,0,0,0,16,Dossãos
"112031316",1999,35,12,10,63,5,0,0,0,0,23,Freiriz
"112031317",1999,23,0,1,45,1,0,0,1,1,2,Gême
"112031323",1999,39,5,14,129,6,0,0,3,1,13,Lage
"112031324",1999,32,1,0,59,2,0,0,0,0,1,Lanhas
"112031325",1999,26,2,0,69,3,0,0,0,0,0,Loureira
"112031328",1999,41,6,7,40,1,0,0,0,0,20,Moure
"112031330",1999,24,3,1,46,2,0,0,2,0,7,Oleiros
"112031331",1999,37,5,7,60,0,0,0,0,0,0,Parada de Gatim
"112031335",1999,49,1,0,99,4,0,0,0,0,1,Pico
"112031337",1999,40,2,0,37,2,0,0,0,0,0,Ponte
"112031340",1999,11,0,5,60,0,0,0,1,0,2,Sabariz
"112031342",1999,99,3,4,82,0,0,0,5,0,1,Vila de Prado
"112031350",1999,59,3,1,73,2,0,0,0,0,7,Prado (São Miguel)
"112031352",1999,41,3,2,164,5,0,0,2,0,0,Soutelo
"112031354",1999,42,7,12,47,5,0,0,0,0,7,Turiz
"112031355",1999,57,5,23,127,5,0,0,0,0,19,Valdreu
"112031359",1999,74,11,52,130,6,0,0,0,0,31,Aboim da Nóbrega e Gondomar
"112031360",1999,328,41,154,201,37,0,0,1,0,75,União das freguesias da Ribeira do Neiva
"112031361",1999,83,4,9,68,3,0,0,0,0,18,União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago)
"112031362",1999,33,2,6,243,1,0,0,1,1,2,União das freguesias de Escariz (São Mamede) e Escariz (São Martinho)
"112031363",1999,67,3,6,76,1,0,0,1,0,17,"União das freguesias de Esqueiros, Nevogilde e Travassós"
"112031364",1999,30,6,18,105,3,0,0,1,0,6,União das freguesias de Marrancos e Arcozelo
"112031365",1999,61,6,1,101,7,0,0,0,0,3,União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel)
"112031366",1999,71,4,1,103,5,0,0,1,0,9,"União das freguesias de Pico de Regalados, Gondiães e Mós"
"112031367",1999,108,8,13,108,7,0,0,0,0,9,"União das freguesias de Sande, Vilarinho, Barros e Gomide"
"112031368",1999,62,3,4,96,6,0,0,1,0,6,"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)"
"112031369",1999,127,8,30,194,6,0,0,0,0,22,União das freguesias do Vade
"112031370",1999,80,6,14,124,7,0,0,1,0,6,Vila Verde e Barbudo
"119030401",1999,48,8,105,70,11,0,0,0,0,1,Abadim
"119030404",1999,46,9,0,90,9,0,0,0,0,7,Basto
"119030405",1999,62,3,1,71,16,0,0,0,0,0,Bucos
"119030406",1999,62,8,0,111,11,0,0,0,0,5,Cabeceiras de Basto
"119030407",1999,134,6,0,282,8,0,0,0,0,1,Cavez
"119030408",1999,48,4,1,79,6,0,0,0,0,2,Faia
"119030413",1999,82,2,3,157,9,0,0,0,0,3,Pedraça
"119030415",1999,154,6,62,238,32,0,0,1,0,5,Rio Douro
"119030418",1999,81,11,0,105,13,0,0,0,0,12,União das freguesias de Alvite e Passos
"119030419",1999,62,6,0,83,14,0,0,1,0,3,União das freguesias de Arco de Baúlhe e Vila Nune
"119030420",1999,47,1,2,56,13,0,0,0,0,1,União das freguesias de Gondiães e Vilar de Cunhas
"119030421",1999,157,36,1,275,30,0,0,1,0,17,"União das freguesias de Refojos de Basto, Outeiro e Painzela"
"119030705",1999,49,19,7,62,7,0,0,0,0,15,Armil
"119030708",1999,65,17,49,95,22,0,0,1,0,20,Estorãos
"119030709",1999,34,11,35,43,6,0,0,2,0,14,Fafe
"119030712",1999,49,16,21,72,12,0,0,0,0,13,Fornelos
"119030714",1999,55,12,13,77,9,0,0,1,0,8,Golães
"119030716",1999,14,5,11,24,4,0,0,0,0,3,Medelo
"119030719",1999,72,19,12,91,8,0,2,0,0,15,Passos
"119030722",1999,69,9,43,98,8,0,0,0,0,9,Quinchães
"119030723",1999,50,6,16,125,7,0,0,0,0,13,Regadas
"119030724",1999,64,20,44,75,6,0,1,0,1,26,Revelhe
"119030725",1999,35,14,85,5,8,0,0,0,0,0,Ribeiros
"119030726",1999,30,7,4,40,9,0,0,0,0,6,Arões (Santa Cristina)
"119030728",1999,139,35,60,254,33,0,0,0,1,48,São Gens
"119030729",1999,37,3,10,63,3,0,0,0,0,5,Silvares (São Martinho)
"119030730",1999,62,24,3,105,4,0,0,0,0,0,Arões (São Romão)
"119030733",1999,102,31,75,123,10,0,12,1,0,25,Travassós
"119030736",1999,42,10,10,62,9,0,4,0,0,2,Vinhós
"119030737",1999,80,28,339,12,16,0,0,4,0,36,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído"
"119030738",1999,72,17,20,112,10,0,0,6,0,1,União de freguesias de Agrela e Serafão
"119030739",1999,50,7,24,132,5,0,0,1,1,16,União de freguesias de Antime e Silvares (São Clemente)
