"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"111160101",1989,0,0,0,0,0,28,0,Aboim das Choças
"111160102",1989,0,1,0,0,0,14,0,Aguiã
"111160104",1989,0,0,1,0,0,12,0,Ázere
"111160105",1989,0,1,0,0,0,5,0,Cabana Maior
"111160106",1989,0,0,0,0,0,22,0,Cabreiro
"111160108",1989,0,2,1,0,0,19,0,Cendufe
"111160109",1989,0,1,0,0,0,22,0,Couto
"111160113",1989,0,0,0,0,0,7,0,Gavieira
"111160115",1989,0,0,0,0,0,30,0,Gondoriz
"111160121",1989,0,0,0,0,0,3,0,Miranda
"111160122",1989,0,1,1,0,1,13,0,Monte Redondo
"111160123",1989,1,3,1,0,1,9,0,Oliveira
"111160124",1989,0,0,1,0,0,18,7,Paçô
"111160125",1989,0,0,0,0,0,21,0,Padroso
"111160128",1989,0,1,0,0,0,27,0,Prozelo
"111160130",1989,0,0,0,0,0,25,0,Rio Frio
"111160131",1989,0,1,0,0,0,25,0,Rio de Moinhos
"111160133",1989,1,2,0,0,0,29,0,Sabadim
"111160142",1989,0,2,1,0,0,24,0,Jolda (São Paio)
"111160144",1989,0,0,0,0,0,6,0,Senharei
"111160145",1989,0,0,0,0,0,7,0,Sistelo
"111160146",1989,0,0,0,0,0,30,0,Soajo
"111160149",1989,1,6,0,0,0,27,0,Vale
"111160152",1989,0,0,0,0,0,49,0,União das freguesias de Alvora e Loureda
"111160153",1989,0,2,1,0,0,22,0,União das freguesias de Arcos de Valdevez (São Paio) e Giela
"111160154",1989,0,0,0,0,0,16,0,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
"111160155",1989,0,0,0,0,0,18,0,União das freguesias de Eiras e Mei
"111160156",1989,0,1,0,0,0,22,0,União das freguesias de Grade e Carralcova
"111160157",1989,0,2,0,0,0,28,0,União das freguesias de Guilhadeses e Santar
"111160158",1989,0,6,0,0,1,49,0,União das freguesias de Jolda (Madalena) e Rio Cabrão
"111160159",1989,0,1,0,0,0,23,0,União das freguesias de Padreiro (Salvador e Santa Cristina)
"111160160",1989,0,0,0,0,0,18,0,União das freguesias de Portela e Extremo
"111160161",1989,4,7,0,0,0,34,0,União das freguesias de São Jorge e Ermelo
"111160162",1989,1,2,1,0,0,27,0,União das freguesias de Souto e Tabaçô
"111160163",1989,1,5,3,0,0,36,0,União das freguesias de Távora (Santa Maria e São Vicente)
"111160164",1989,0,0,0,0,0,42,0,"União das freguesias de Vilela, São Cosme e São Damião e Sá"
"111160201",1989,0,0,0,0,0,11,0,Âncora
"111160205",1989,0,1,0,0,0,14,1,Argela
"111160209",1989,0,1,0,0,0,9,0,Dem
