Dicofre,Freguesia,Concelho,Distrito,TAA,AREA_EA_Ha,AREA_T_Ha,Des_Simpli
"120501",Nossa Senhora da Graça de Póvoa e Meadas,CASTELO DE VIDE,PORTALEGRE,ÁREA PRINCIPAL,7354.57,7354.57,Nossa Senhora da Graça de Póvoa e Meadas
"140121",União das freguesias de Aldeia do Mato e Souto,ABRANTES,SANTARÉM,ÁREA PRINCIPAL,4476.80,4476.80,Aldeia do Mato e Souto
"100120",Aljubarrota,ALCOBAÇA,LEIRIA,ÁREA PRINCIPAL,4794.20,4794.20,Aljubarrota
"141813",São Pedro de Tomar,TOMAR,SANTARÉM,ÁREA PRINCIPAL,3665.67,3665.67,São Pedro de Tomar
"141101",Águas Belas,FERREIRA DO ZÊZERE,SANTARÉM,ÁREA PRINCIPAL,2213.03,2213.03,Águas Belas
"051003",Vila de Rei,VILA DE REI,CASTELO BRANCO,ÁREA PRINCIPAL,14195.09,14195.09,Vila de Rei
"142104",Caxarias,OURÉM,SANTARÉM,ÁREA PRINCIPAL,1803.43,1803.43,Caxarias
"051104",Vila Velha de Ródão,VILA VELHA DE RÓDÃO,CASTELO BRANCO,ÁREA PRINCIPAL,9044.09,9044.09,Vila Velha de Ródão
"142120",União das freguesias de Gondemaria e Olival,OURÉM,SANTARÉM,ÁREA PRINCIPAL,3010.88,3010.88,Gondemaria e Olival
"051102",Perais,VILA VELHA DE RÓDÃO,CASTELO BRANCO,ÁREA PRINCIPAL,8195.15,8195.15,Perais
"100913",Maceira,LEIRIA,LEIRIA,ÁREA PRINCIPAL,4702.70,4702.70,Maceira
"100123",União das freguesias de Pataias e Martingança,ALCOBAÇA,LEIRIA,ÁREA PRINCIPAL,8708.39,8708.39,Pataias e Martingança
"100937",União das freguesias de Parceiros e Azoia,LEIRIA,LEIRIA,ÁREA PRINCIPAL,2298.64,2298.64,Parceiros e Azoia
"141303",Cardigos,MAÇÃO,SANTARÉM,ÁREA PRINCIPAL,7092.75,7092.75,Cardigos
"141104",Chãos,FERREIRA DO ZÊZERE,SANTARÉM,ÁREA PRINCIPAL,2333.55,2333.55,Chãos
"051001",Fundada,VILA DE REI,CASTELO BRANCO,ÁREA PRINCIPAL,3654.43,3654.43,Fundada
"100933","União das freguesias de Leiria, Pousos, Barreira e Cortes",LEIRIA,LEIRIA,ÁREA PRINCIPAL,5226.45,5226.45,"Leiria, Pousos, Barreira e Cortes"
"141111",União das freguesias de Areias e Pias,FERREIRA DO ZÊZERE,SANTARÉM,ÁREA PRINCIPAL,4576.22,4576.22,Areias e Pias
"142121",União das freguesias de Matas e Cercal,OURÉM,SANTARÉM,ÁREA PRINCIPAL,2074.53,2074.53,Matas e Cercal
"050226",União das freguesias de Cebolais de Cima e Retaxo,CASTELO BRANCO,CASTELO BRANCO,ÁREA PRINCIPAL,2512.61,2512.61,Cebolais de Cima e Retaxo
"141110",Nossa Senhora do Pranto,FERREIRA DO ZÊZERE,SANTARÉM,ÁREA PRINCIPAL,3048.25,3048.25,Nossa Senhora do Pranto
