"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops"
"111160520",1999,46,7,82,85,6,0,0,0,1,0
"111160521",1999,17,4,54,45,2,0,0,0,0,12
"111160522",1999,49,8,123,112,8,0,0,0,0,1
"111160523",1999,36,3,42,56,7,0,0,0,1,1
"111160524",1999,64,12,93,159,10,0,0,1,0,8
"111160525",1999,44,6,78,144,13,0,0,0,0,4
"111160526",1999,26,4,60,60,4,0,0,0,3,1
"111160601",1999,30,11,2,40,7,0,0,0,0,1
"111160602",1999,42,12,30,52,6,0,0,0,0,0
"111160603",1999,66,20,23,84,1,0,0,0,0,12
"111160604",1999,11,1,0,7,1,0,0,0,0,2
"111160606",1999,23,7,13,27,0,0,0,0,0,5
"111160611",1999,79,25,44,107,14,0,0,0,0,0
"111160612",1999,20,3,0,15,3,0,0,0,0,1
"111160613",1999,13,5,1,23,1,0,0,0,0,5
"111160614",1999,37,7,10,101,2,0,0,0,0,3
"111160619",1999,37,1,20,33,3,0,0,0,0,10
"111160623",1999,22,6,10,21,0,0,0,0,0,4
"111160624",1999,23,10,6,28,3,0,0,0,0,1
"111160626",1999,87,18,0,87,3,0,0,1,0,0
"111160627",1999,25,7,16,27,4,0,0,0,0,1
"111160628",1999,58,20,14,48,17,0,0,2,1,2
"111160629",1999,12,2,24,9,0,0,0,0,0,4
"111160630",1999,35,14,37,45,6,0,0,0,0,5
"111160701",1999,87,9,2,107,5,0,0,2,0,6
"111160703",1999,91,6,2,94,5,0,0,0,0,12
"111160704",1999,120,2,4,74,1,0,0,13,1,9
"111160707",1999,70,1,22,102,4,0,0,0,0,19
"111160708",1999,34,2,0,35,3,0,0,3,1,2
"111160709",1999,32,6,0,25,2,0,0,0,0,5
"111160710",1999,22,2,1,22,1,0,0,2,0,5
"111160713",1999,79,3,0,86,3,0,0,0,0,4
"111160714",1999,62,4,2,181,2,0,0,2,0,10
"111160716",1999,170,9,2,455,22,0,0,1,0,69
"111160717",1999,54,3,4,59,3,0,0,1,0,9
"111160718",1999,83,11,7,98,9,0,0,0,0,21
"111160719",1999,23,1,0,40,3,0,0,0,0,4
"111160721",1999,50,6,4,184,4,0,0,0,0,12
"111160724",1999,38,4,7,136,1,0,0,1,0,11
"111160726",1999,42,2,1,44,2,0,0,0,0,8
"111160727",1999,63,5,3,76,1,0,0,0,0,14
"111160728",1999,80,6,6,73,0,0,0,0,0,24
"111160729",1999,34,6,12,37,4,0,0,0,0,0
"111160734",1999,31,4,7,322,4,0,0,1,1,13
"111160737",1999,180,15,34,179,8,0,0,5,0,29
"111160739",1999,97,9,5,108,2,0,0,5,0,18
"111160740",1999,36,0,0,21,1,0,0,3,1,3
"111160742",1999,18,0,0,22,2,0,0,0,1,3
"111160743",1999,25,6,11,30,5,0,0,0,0,0
"111160744",1999,55,4,1,90,3,0,0,0,0,9
"111160745",1999,28,6,0,44,2,0,0,0,0,6
"111160746",1999,50,15,8,62,4,0,0,3,0,13
"111160747",1999,83,5,0,128,5,0,0,0,0,10
"111160750",1999,56,5,6,39,6,0,0,0,0,6
"111160752",1999,19,2,14,50,1,0,0,0,0,2
"111160753",1999,94,3,34,346,5,0,0,1,1,18
"111160754",1999,76,7,38,305,8,0,0,3,1,9
"111160755",1999,67,4,4,35,3,0,0,5,0,8
"111160756",1999,90,7,2,213,2,0,0,1,0,17
"111160757",1999,102,6,3,163,5,0,0,2,0,10
