"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"111160101",1989,0,1,0,0,0,84,0
"111160102",1989,2,6,1,0,0,79,0
"111160104",1989,2,2,4,0,1,39,0
"111160105",1989,1,5,1,0,0,79,0
"111160106",1989,0,3,0,0,0,183,0
"111160108",1989,1,44,2,0,1,80,4
"111160109",1989,3,16,2,0,1,89,0
"111160113",1989,0,0,1,0,1,95,0
"111160115",1989,1,3,4,0,1,177,0
"111160121",1989,2,0,1,0,1,66,0
"111160122",1989,1,45,3,1,1,90,1
"111160123",1989,9,20,3,1,2,54,0
"111160124",1989,5,8,10,0,6,54,2
"111160125",1989,0,0,0,0,1,80,0
"111160128",1989,0,2,1,1,1,112,0
"111160130",1989,2,19,0,0,2,226,0
"111160131",1989,33,57,7,0,0,134,0
"111160133",1989,31,68,9,0,0,151,0
"111160142",1989,7,31,7,1,3,65,0
"111160144",1989,8,12,0,0,0,58,0
"111160145",1989,1,1,1,0,0,97,0
"111160146",1989,24,8,38,1,0,277,1
"111160149",1989,9,34,7,0,2,147,0
"111160152",1989,1,3,0,0,1,133,0
"111160153",1989,6,10,7,0,2,69,0
"111160154",1989,10,5,4,1,1,71,2
"111160155",1989,0,1,0,0,0,97,0
"111160156",1989,4,18,2,1,2,155,0
"111160157",1989,11,20,18,0,21,102,0
"111160158",1989,11,54,7,0,10,126,1
"111160159",1989,6,40,5,0,5,99,0
"111160160",1989,0,0,0,0,0,108,0
"111160161",1989,39,63,8,0,3,175,0
"111160162",1989,30,61,22,1,22,90,0
"111160163",1989,6,48,15,2,4,185,0
"111160164",1989,1,3,1,0,1,126,0
"1111602",1989,6,74,17,1,2,985,58
"111160201",1989,2,1,4,1,1,64,0
"111160205",1989,1,3,1,0,0,93,4
"111160209",1989,0,46,2,0,1,74,0
"111160211",1989,1,0,3,1,1,76,0
"111160214",1989,14,4,17,0,0,108,0
"111160215",1989,2,1,2,0,1,43,2
"111160217",1989,4,1,4,0,2,48,1
"111160218",1989,5,1,9,2,2,84,5
"111160220",1989,2,1,0,0,0,24,0
"111160221",1989,1,47,1,0,3,68,0
"111160222",1989,3,0,5,1,0,37,5
"111160223",1989,1,8,1,0,0,96,0
"111160224",1989,1,0,1,0,0,35,0
"111160225",1989,18,2,18,1,1,135,41
"1111603",1989,74,3,112,2,3,1860,1
"111160301",1989,15,0,17,2,1,136,1
"111160304",1989,0,1,1,0,0,98,0
"111160305",1989,0,0,2,0,0,169,0
"111160307",1989,0,0,0,0,0,54,0
"111160308",1989,3,1,5,0,0,75,0
"111160311",1989,5,0,7,2,1,283,0
"111160313",1989,5,1,17,0,1,143,0
"111160317",1989,2,0,2,0,0,161,0
"111160319",1989,0,1,0,0,0,13,0
"111160320",1989,6,0,9,0,0,233,0
"111160321",1989,1,0,0,0,0,150,0
"111160322",1989,11,0,19,0,0,112,0
"111160323",1989,32,0,40,0,1,244,0
"1111604",1989,18,25,44,0,1,3558,1
"111160401",1989,0,0,0,0,0,88,0
"111160404",1989,5,0,7,1,1,210,0
"111160405",1989,0,0,1,0,0,85,0
"111160406",1989,2,0,0,0,0,114,0
"111160407",1989,1,14,3,0,1,76,0
"111160410",1989,1,1,1,1,0,80,0
"111160411",1989,8,3,8,2,1,222,0
"111160415",1989,0,1,1,4,0,330,0
"111160418",1989,1,5,5,0,0,127,0
"111160420",1989,1,1,4,0,1,211,0
"111160421",1989,1,2,1,0,0,59,0
"111160422",1989,1,0,1,0,1,80,0
"111160423",1989,0,0,1,0,1,101,0
"111160424",1989,1,0,1,0,2,278,0
"111160427",1989,0,0,0,0,0,58,0
"111160428",1989,2,2,2,1,0,290,0
"111160431",1989,0,0,0,0,0,82,0
"111160434",1989,0,0,0,0,0,104,0
"111160435",1989,0,0,1,0,0,133,0
"111160436",1989,3,1,11,4,1,332,0
"111160437",1989,0,0,1,0,0,134,1
"111160438",1989,3,1,8,2,2,122,0
"111160439",1989,0,1,1,0,0,146,0
"111160440",1989,1,1,3,0,1,96,0
"1111605",1989,6,4,42,0,4,1312,3
"111160501",1989,0,1,1,0,0,60,0
"111160503",1989,1,0,2,0,0,59,1
"111160505",1989,0,0,1,1,1,83,0
"111160507",1989,0,1,3,0,0,83,0
"111160510",1989,0,1,1,0,0,112,0
"111160513",1989,1,0,1,0,0,52,0
"111160514",1989,0,0,2,0,0,83,0
"111160515",1989,0,0,0,0,0,54,0
"111160519",1989,0,0,1,0,0,64,1
"111160520",1989,0,0,0,0,1,95,0
"111160521",1989,0,0,0,0,0,23,0
"111160522",1989,1,0,2,1,0,73,0
"111160523",1989,1,0,1,0,1,84,0
"111160524",1989,4,1,22,0,2,199,2
"111160525",1989,0,0,2,0,1,66,0
"111160526",1989,1,0,6,0,0,144,1
"1111606",1989,141,542,93,1,20,1666,0
"111160601",1989,1,23,5,0,0,88,0
"111160602",1989,3,54,1,0,1,75,0
"111160603",1989,4,52,14,0,1,109,0
"111160604",1989,5,4,1,0,0,56,0
"111160606",1989,2,3,5,0,1,52,0
"111160611",1989,6,134,10,3,4,173,0
"111160612",1989,7,0,4,0,0,109,0
"111160613",1989,4,11,5,0,2,63,0
"111160614",1989,4,15,6,0,3,77,0
"111160619",1989,0,15,0,0,0,91,0
"111160623",1989,1,10,2,0,1,30,0
"111160624",1989,3,7,2,0,4,47,0
"111160626",1989,14,52,6,0,3,164,0
"111160627",1989,3,7,1,0,5,153,0
"111160628",1989,8,34,17,1,10,168,0
"111160629",1989,25,50,2,0,3,61,0
"111160630",1989,66,88,18,0,1,150,0
"1111607",1989,467,2112,392,15,128,5251,2
