Nuts_region_perm,NutsID,region_name,Perm_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160115_Gondoriz_Other permanent crops,111160115,Gondoriz,Other permanent crops,0,0,0,0
111160121_Miranda_Citrus plantations,111160121,Miranda,Citrus plantations,0,0,0,0
111160121_Miranda_Olive plantations,111160121,Miranda,Olive plantations,0,0,0,1
111160121_Miranda_Fresh fruit plantations (excluding citrus plantations),111160121,Miranda,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160121_Miranda_Fruit plantations (subtropical climate zones),111160121,Miranda,Fruit plantations (subtropical climate zones),0,0,0,0
111160121_Miranda_Nuts plantations,111160121,Miranda,Nuts plantations,0,1,1,1
111160121_Miranda_Vineyards,111160121,Miranda,Vineyards,3,9,4,8
111160121_Miranda_Other permanent crops,111160121,Miranda,Other permanent crops,0,0,0,0
111160122_Monte Redondo_Citrus plantations,111160122,Monte Redondo,Citrus plantations,0,0,0,0
111160122_Monte Redondo_Olive plantations,111160122,Monte Redondo,Olive plantations,1,0,0,0
111160122_Monte Redondo_Fresh fruit plantations (excluding citrus plantations),111160122,Monte Redondo,Fresh fruit plantations (excluding citrus plantations),1,1,0,0
111160122_Monte Redondo_Fruit plantations (subtropical climate zones),111160122,Monte Redondo,Fruit plantations (subtropical climate zones),0,0,0,0
111160122_Monte Redondo_Nuts plantations,111160122,Monte Redondo,Nuts plantations,1,1,0,0
111160122_Monte Redondo_Vineyards,111160122,Monte Redondo,Vineyards,13,13,7,5
111160122_Monte Redondo_Other permanent crops,111160122,Monte Redondo,Other permanent crops,0,0,0,0
111160123_Oliveira_Citrus plantations,111160123,Oliveira,Citrus plantations,1,1,0,0
111160123_Oliveira_Olive plantations,111160123,Oliveira,Olive plantations,3,0,0,0
111160123_Oliveira_Fresh fruit plantations (excluding citrus plantations),111160123,Oliveira,Fresh fruit plantations (excluding citrus plantations),1,0,0,2
111160123_Oliveira_Fruit plantations (subtropical climate zones),111160123,Oliveira,Fruit plantations (subtropical climate zones),0,2,0,0
111160123_Oliveira_Nuts plantations,111160123,Oliveira,Nuts plantations,1,1,0,4
111160123_Oliveira_Vineyards,111160123,Oliveira,Vineyards,9,13,14,26
111160123_Oliveira_Other permanent crops,111160123,Oliveira,Other permanent crops,0,0,0,0
111160124_Paçô_Citrus plantations,111160124,Paçô,Citrus plantations,0,0,0,0
111160124_Paçô_Olive plantations,111160124,Paçô,Olive plantations,0,1,0,0
111160124_Paçô_Fresh fruit plantations (excluding citrus plantations),111160124,Paçô,Fresh fruit plantations (excluding citrus plantations),1,1,0,0
111160124_Paçô_Fruit plantations (subtropical climate zones),111160124,Paçô,Fruit plantations (subtropical climate zones),0,0,0,0
111160124_Paçô_Nuts plantations,111160124,Paçô,Nuts plantations,0,2,0,3
111160124_Paçô_Vineyards,111160124,Paçô,Vineyards,18,39,44,53
111160124_Paçô_Other permanent crops,111160124,Paçô,Other permanent crops,7,7,7,2
111160125_Padroso_Citrus plantations,111160125,Padroso,Citrus plantations,0,0,0,0
111160125_Padroso_Olive plantations,111160125,Padroso,Olive plantations,0,0,0,0
111160125_Padroso_Fresh fruit plantations (excluding citrus plantations),111160125,Padroso,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160125_Padroso_Fruit plantations (subtropical climate zones),111160125,Padroso,Fruit plantations (subtropical climate zones),0,0,0,0
111160125_Padroso_Nuts plantations,111160125,Padroso,Nuts plantations,0,0,0,0
111160125_Padroso_Vineyards,111160125,Padroso,Vineyards,21,4,3,1
111160125_Padroso_Other permanent crops,111160125,Padroso,Other permanent crops,0,0,0,0
111160128_Prozelo_Citrus plantations,111160128,Prozelo,Citrus plantations,0,0,0,0
111160128_Prozelo_Olive plantations,111160128,Prozelo,Olive plantations,1,0,0,0
111160128_Prozelo_Fresh fruit plantations (excluding citrus plantations),111160128,Prozelo,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160128_Prozelo_Fruit plantations (subtropical climate zones),111160128,Prozelo,Fruit plantations (subtropical climate zones),0,0,0,0
111160128_Prozelo_Nuts plantations,111160128,Prozelo,Nuts plantations,0,0,0,1
111160128_Prozelo_Vineyards,111160128,Prozelo,Vineyards,27,19,8,4
111160128_Prozelo_Other permanent crops,111160128,Prozelo,Other permanent crops,0,0,0,0
111160130_Rio Frio_Citrus plantations,111160130,Rio Frio,Citrus plantations,0,0,0,0
111160130_Rio Frio_Olive plantations,111160130,Rio Frio,Olive plantations,0,0,0,0
111160130_Rio Frio_Fresh fruit plantations (excluding citrus plantations),111160130,Rio Frio,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160130_Rio Frio_Fruit plantations (subtropical climate zones),111160130,Rio Frio,Fruit plantations (subtropical climate zones),0,0,0,0
111160130_Rio Frio_Nuts plantations,111160130,Rio Frio,Nuts plantations,0,1,0,2
111160130_Rio Frio_Vineyards,111160130,Rio Frio,Vineyards,25,20,9,7
111160130_Rio Frio_Other permanent crops,111160130,Rio Frio,Other permanent crops,0,0,0,0
111160131_Rio de Moinhos_Citrus plantations,111160131,Rio de Moinhos,Citrus plantations,0,0,0,0
111160131_Rio de Moinhos_Olive plantations,111160131,Rio de Moinhos,Olive plantations,1,0,0,0
111160131_Rio de Moinhos_Fresh fruit plantations (excluding citrus plantations),111160131,Rio de Moinhos,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160131_Rio de Moinhos_Fruit plantations (subtropical climate zones),111160131,Rio de Moinhos,Fruit plantations (subtropical climate zones),0,0,0,0
