Nuts_region_perm,NutsID,region_name,Perm_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160944_União das freguesias de Mazarefes e Vila Fria_Citrus plantations,111160944,União das freguesias de Mazarefes e Vila Fria,Citrus plantations,1,1,0,1
111160944_União das freguesias de Mazarefes e Vila Fria_Olive plantations,111160944,União das freguesias de Mazarefes e Vila Fria,Olive plantations,0,0,0,0
111160944_União das freguesias de Mazarefes e Vila Fria_Fresh fruit plantations (excluding citrus plantations),111160944,União das freguesias de Mazarefes e Vila Fria,Fresh fruit plantations (excluding citrus plantations),1,3,0,2
111160944_União das freguesias de Mazarefes e Vila Fria_Fruit plantations (subtropical climate zones),111160944,União das freguesias de Mazarefes e Vila Fria,Fruit plantations (subtropical climate zones),0,0,0,0
111160944_União das freguesias de Mazarefes e Vila Fria_Nuts plantations,111160944,União das freguesias de Mazarefes e Vila Fria,Nuts plantations,0,0,0,0
111160944_União das freguesias de Mazarefes e Vila Fria_Vineyards,111160944,União das freguesias de Mazarefes e Vila Fria,Vineyards,31,13,7,7
111160944_União das freguesias de Mazarefes e Vila Fria_Other permanent crops,111160944,União das freguesias de Mazarefes e Vila Fria,Other permanent crops,0,0,4,0
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Citrus plantations",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Citrus plantations,3,2,1,1
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Olive plantations",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Olive plantations,34,9,10,1
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Fresh fruit plantations (excluding citrus plantations)",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Fresh fruit plantations (excluding citrus plantations),5,1,1,3
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Fruit plantations (subtropical climate zones)",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Fruit plantations (subtropical climate zones),7,7,10,18
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Nuts plantations",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Nuts plantations,0,0,1,5
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Vineyards",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Vineyards,53,36,18,25
"111160945_União das freguesias de Nogueira, Meixedo e Vilar de Murteda_Other permanent crops",111160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",Other permanent crops,0,0,0,0
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Citrus plantations",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Citrus plantations,4,0,2,2
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Olive plantations",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Olive plantations,11,4,4,5
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Fresh fruit plantations (excluding citrus plantations)",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Fresh fruit plantations (excluding citrus plantations),7,1,2,3
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Fruit plantations (subtropical climate zones)",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Fruit plantations (subtropical climate zones),1,1,1,1
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Nuts plantations",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Nuts plantations,0,0,0,1
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Vineyards",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Vineyards,78,43,35,40
"111160946_União das freguesias de Subportela, Deocriste e Portela Susã_Other permanent crops",111160946,"União das freguesias de Subportela, Deocriste e Portela Susã",Other permanent crops,0,0,0,0
111160947_União das freguesias de Torre e Vila Mou_Citrus plantations,111160947,União das freguesias de Torre e Vila Mou,Citrus plantations,1,0,1,1
111160947_União das freguesias de Torre e Vila Mou_Olive plantations,111160947,União das freguesias de Torre e Vila Mou,Olive plantations,7,4,2,2
111160947_União das freguesias de Torre e Vila Mou_Fresh fruit plantations (excluding citrus plantations),111160947,União das freguesias de Torre e Vila Mou,Fresh fruit plantations (excluding citrus plantations),1,2,1,2
111160947_União das freguesias de Torre e Vila Mou_Fruit plantations (subtropical climate zones),111160947,União das freguesias de Torre e Vila Mou,Fruit plantations (subtropical climate zones),0,3,2,2
111160947_União das freguesias de Torre e Vila Mou_Nuts plantations,111160947,União das freguesias de Torre e Vila Mou,Nuts plantations,0,1,1,2
111160947_União das freguesias de Torre e Vila Mou_Vineyards,111160947,União das freguesias de Torre e Vila Mou,Vineyards,34,29,14,35
111160947_União das freguesias de Torre e Vila Mou_Other permanent crops,111160947,União das freguesias de Torre e Vila Mou,Other permanent crops,0,0,0,0
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Citrus plantations,111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Citrus plantations,1,1,1,1
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Olive plantations,111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Olive plantations,1,0,1,0
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Fresh fruit plantations (excluding citrus plantations),111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Fresh fruit plantations (excluding citrus plantations),10,3,0,0
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Fruit plantations (subtropical climate zones),111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Fruit plantations (subtropical climate zones),0,0,0,0
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Nuts plantations,111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Nuts plantations,1,0,0,1
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Vineyards,111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Vineyards,49,12,10,5
111160948_União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela_Other permanent crops,111160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Other permanent crops,0,0,0,0
111161003_Cornes_Citrus plantations,111161003,Cornes,Citrus plantations,0,0,0,0
111161003_Cornes_Olive plantations,111161003,Cornes,Olive plantations,0,0,0,0
111161003_Cornes_Fresh fruit plantations (excluding citrus plantations),111161003,Cornes,Fresh fruit plantations (excluding citrus plantations),0,0,1,1
111161003_Cornes_Fruit plantations (subtropical climate zones),111161003,Cornes,Fruit plantations (subtropical climate zones),0,0,0,0
111161003_Cornes_Nuts plantations,111161003,Cornes,Nuts plantations,0,0,0,4
111161003_Cornes_Vineyards,111161003,Cornes,Vineyards,8,4,6,6
111161003_Cornes_Other permanent crops,111161003,Cornes,Other permanent crops,0,0,0,0
111161004_Covas_Citrus plantations,111161004,Covas,Citrus plantations,0,0,0,0
111161004_Covas_Olive plantations,111161004,Covas,Olive plantations,0,0,0,0
111161004_Covas_Fresh fruit plantations (excluding citrus plantations),111161004,Covas,Fresh fruit plantations (excluding citrus plantations),0,0,3,6
111161004_Covas_Fruit plantations (subtropical climate zones),111161004,Covas,Fruit plantations (subtropical climate zones),0,0,0,0
111161004_Covas_Nuts plantations,111161004,Covas,Nuts plantations,0,1,0,82
111161004_Covas_Vineyards,111161004,Covas,Vineyards,19,8,3,2
111161004_Covas_Other permanent crops,111161004,Covas,Other permanent crops,0,0,0,0
111161006_Gondarém_Citrus plantations,111161006,Gondarém,Citrus plantations,0,0,0,0
111161006_Gondarém_Olive plantations,111161006,Gondarém,Olive plantations,0,0,0,0
111161006_Gondarém_Fresh fruit plantations (excluding citrus plantations),111161006,Gondarém,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111161006_Gondarém_Fruit plantations (subtropical climate zones),111161006,Gondarém,Fruit plantations (subtropical climate zones),0,0,0,0
111161006_Gondarém_Nuts plantations,111161006,Gondarém,Nuts plantations,0,0,0,0
111161006_Gondarém_Vineyards,111161006,Gondarém,Vineyards,9,5,2,5
111161006_Gondarém_Other permanent crops,111161006,Gondarém,Other permanent crops,0,0,0,0
111161007_Loivo_Citrus plantations,111161007,Loivo,Citrus plantations,0,0,0,0
111161007_Loivo_Olive plantations,111161007,Loivo,Olive plantations,0,0,0,0
111161007_Loivo_Fresh fruit plantations (excluding citrus plantations),111161007,Loivo,Fresh fruit plantations (excluding citrus plantations),0,0,2,2
111161007_Loivo_Fruit plantations (subtropical climate zones),111161007,Loivo,Fruit plantations (subtropical climate zones),0,0,0,0
111161007_Loivo_Nuts plantations,111161007,Loivo,Nuts plantations,0,0,0,0
111161007_Loivo_Vineyards,111161007,Loivo,Vineyards,7,2,1,0
111161007_Loivo_Other permanent crops,111161007,Loivo,Other permanent crops,0,0,0,0
111161009_Mentrestido_Citrus plantations,111161009,Mentrestido,Citrus plantations,0,0,0,0
111161009_Mentrestido_Olive plantations,111161009,Mentrestido,Olive plantations,0,0,0,0
111161009_Mentrestido_Fresh fruit plantations (excluding citrus plantations),111161009,Mentrestido,Fresh fruit plantations (excluding citrus plantations),0,0,0,5
111161009_Mentrestido_Fruit plantations (subtropical climate zones),111161009,Mentrestido,Fruit plantations (subtropical climate zones),0,0,0,0
111161009_Mentrestido_Nuts plantations,111161009,Mentrestido,Nuts plantations,0,0,0,0
111161009_Mentrestido_Vineyards,111161009,Mentrestido,Vineyards,4,2,2,1
111161009_Mentrestido_Other permanent crops,111161009,Mentrestido,Other permanent crops,0,0,0,0
111161012_Sapardos_Citrus plantations,111161012,Sapardos,Citrus plantations,0,0,0,0
111161012_Sapardos_Olive plantations,111161012,Sapardos,Olive plantations,0,0,0,0
111161012_Sapardos_Fresh fruit plantations (excluding citrus plantations),111161012,Sapardos,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111161012_Sapardos_Fruit plantations (subtropical climate zones),111161012,Sapardos,Fruit plantations (subtropical climate zones),0,0,0,0
111161012_Sapardos_Nuts plantations,111161012,Sapardos,Nuts plantations,0,0,0,0
111161012_Sapardos_Vineyards,111161012,Sapardos,Vineyards,7,3,2,1
111161012_Sapardos_Other permanent crops,111161012,Sapardos,Other permanent crops,0,0,0,0
111161013_Sopo_Citrus plantations,111161013,Sopo,Citrus plantations,0,0,0,0
111161013_Sopo_Olive plantations,111161013,Sopo,Olive plantations,0,0,0,0
111161013_Sopo_Fresh fruit plantations (excluding citrus plantations),111161013,Sopo,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111161013_Sopo_Fruit plantations (subtropical climate zones),111161013,Sopo,Fruit plantations (subtropical climate zones),0,0,0,0
111161013_Sopo_Nuts plantations,111161013,Sopo,Nuts plantations,0,0,0,0
111161013_Sopo_Vineyards,111161013,Sopo,Vineyards,7,4,4,1
111161013_Sopo_Other permanent crops,111161013,Sopo,Other permanent crops,0,0,0,0
111161016_União das freguesias de Campos e Vila Meã_Citrus plantations,111161016,União das freguesias de Campos e Vila Meã,Citrus plantations,0,0,0,0
111161016_União das freguesias de Campos e Vila Meã_Olive plantations,111161016,União das freguesias de Campos e Vila Meã,Olive plantations,0,0,0,0
111161016_União das freguesias de Campos e Vila Meã_Fresh fruit plantations (excluding citrus plantations),111161016,União das freguesias de Campos e Vila Meã,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111161016_União das freguesias de Campos e Vila Meã_Fruit plantations (subtropical climate zones),111161016,União das freguesias de Campos e Vila Meã,Fruit plantations (subtropical climate zones),1,1,0,1
111161016_União das freguesias de Campos e Vila Meã_Nuts plantations,111161016,União das freguesias de Campos e Vila Meã,Nuts plantations,0,0,0,0
111161016_União das freguesias de Campos e Vila Meã_Vineyards,111161016,União das freguesias de Campos e Vila Meã,Vineyards,15,6,4,3
111161016_União das freguesias de Campos e Vila Meã_Other permanent crops,111161016,União das freguesias de Campos e Vila Meã,Other permanent crops,0,0,0,0
111161017_União das freguesias de Candemil e Gondar_Citrus plantations,111161017,União das freguesias de Candemil e Gondar,Citrus plantations,0,0,0,0
111161017_União das freguesias de Candemil e Gondar_Olive plantations,111161017,União das freguesias de Candemil e Gondar,Olive plantations,0,0,0,0
111161017_União das freguesias de Candemil e Gondar_Fresh fruit plantations (excluding citrus plantations),111161017,União das freguesias de Candemil e Gondar,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111161017_União das freguesias de Candemil e Gondar_Fruit plantations (subtropical climate zones),111161017,União das freguesias de Candemil e Gondar,Fruit plantations (subtropical climate zones),0,0,0,2
111161017_União das freguesias de Candemil e Gondar_Nuts plantations,111161017,União das freguesias de Candemil e Gondar,Nuts plantations,0,0,0,0
111161017_União das freguesias de Candemil e Gondar_Vineyards,111161017,União das freguesias de Candemil e Gondar,Vineyards,7,4,1,1
111161017_União das freguesias de Candemil e Gondar_Other permanent crops,111161017,União das freguesias de Candemil e Gondar,Other permanent crops,0,0,0,0
111161018_União das freguesias de Reboreda e Nogueira_Citrus plantations,111161018,União das freguesias de Reboreda e Nogueira,Citrus plantations,0,0,0,0
111161018_União das freguesias de Reboreda e Nogueira_Olive plantations,111161018,União das freguesias de Reboreda e Nogueira,Olive plantations,0,0,0,0
111161018_União das freguesias de Reboreda e Nogueira_Fresh fruit plantations (excluding citrus plantations),111161018,União das freguesias de Reboreda e Nogueira,Fresh fruit plantations (excluding citrus plantations),0,0,0,2
111161018_União das freguesias de Reboreda e Nogueira_Fruit plantations (subtropical climate zones),111161018,União das freguesias de Reboreda e Nogueira,Fruit plantations (subtropical climate zones),0,0,0,0
111161018_União das freguesias de Reboreda e Nogueira_Nuts plantations,111161018,União das freguesias de Reboreda e Nogueira,Nuts plantations,0,0,0,0
111161018_União das freguesias de Reboreda e Nogueira_Vineyards,111161018,União das freguesias de Reboreda e Nogueira,Vineyards,17,7,3,2
111161018_União das freguesias de Reboreda e Nogueira_Other permanent crops,111161018,União das freguesias de Reboreda e Nogueira,Other permanent crops,0,0,0,0
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Citrus plantations,111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Citrus plantations,0,0,0,0
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Olive plantations,111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Olive plantations,0,0,0,1
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Fresh fruit plantations (excluding citrus plantations),111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Fresh fruit plantations (excluding citrus plantations),5,1,1,1
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Fruit plantations (subtropical climate zones),111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Fruit plantations (subtropical climate zones),3,0,0,0
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Nuts plantations,111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Nuts plantations,0,0,0,2
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Vineyards,111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Vineyards,4,2,3,4
111161019_União das freguesias de Vila Nova de Cerveira e Lovelhe_Other permanent crops,111161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Other permanent crops,0,0,0,0
112030102_Barreiros_Citrus plantations,112030102,Barreiros,Citrus plantations,0,0,1,2
112030102_Barreiros_Olive plantations,112030102,Barreiros,Olive plantations,0,1,1,0
112030102_Barreiros_Fresh fruit plantations (excluding citrus plantations),112030102,Barreiros,Fresh fruit plantations (excluding citrus plantations),2,5,2,5
112030102_Barreiros_Fruit plantations (subtropical climate zones),112030102,Barreiros,Fruit plantations (subtropical climate zones),0,3,0,1
112030102_Barreiros_Nuts plantations,112030102,Barreiros,Nuts plantations,0,0,0,0
112030102_Barreiros_Vineyards,112030102,Barreiros,Vineyards,11,22,8,30
112030102_Barreiros_Other permanent crops,112030102,Barreiros,Other permanent crops,0,0,0,0
112030104_Bico_Citrus plantations,112030104,Bico,Citrus plantations,1,2,0,0
112030104_Bico_Olive plantations,112030104,Bico,Olive plantations,0,0,0,0
112030104_Bico_Fresh fruit plantations (excluding citrus plantations),112030104,Bico,Fresh fruit plantations (excluding citrus plantations),2,1,0,2
112030104_Bico_Fruit plantations (subtropical climate zones),112030104,Bico,Fruit plantations (subtropical climate zones),0,0,0,0
112030104_Bico_Nuts plantations,112030104,Bico,Nuts plantations,0,1,0,0
112030104_Bico_Vineyards,112030104,Bico,Vineyards,10,15,2,7
112030104_Bico_Other permanent crops,112030104,Bico,Other permanent crops,0,3,0,0
112030105_Caires_Citrus plantations,112030105,Caires,Citrus plantations,12,16,15,9
112030105_Caires_Olive plantations,112030105,Caires,Olive plantations,2,1,3,0
112030105_Caires_Fresh fruit plantations (excluding citrus plantations),112030105,Caires,Fresh fruit plantations (excluding citrus plantations),1,1,2,6
112030105_Caires_Fruit plantations (subtropical climate zones),112030105,Caires,Fruit plantations (subtropical climate zones),1,1,1,2
112030105_Caires_Nuts plantations,112030105,Caires,Nuts plantations,1,0,0,1
112030105_Caires_Vineyards,112030105,Caires,Vineyards,37,31,15,10
112030105_Caires_Other permanent crops,112030105,Caires,Other permanent crops,0,0,0,0
112030107_Carrazedo_Citrus plantations,112030107,Carrazedo,Citrus plantations,7,9,5,8
112030107_Carrazedo_Olive plantations,112030107,Carrazedo,Olive plantations,1,1,0,0
112030107_Carrazedo_Fresh fruit plantations (excluding citrus plantations),112030107,Carrazedo,Fresh fruit plantations (excluding citrus plantations),6,35,15,4
112030107_Carrazedo_Fruit plantations (subtropical climate zones),112030107,Carrazedo,Fruit plantations (subtropical climate zones),0,16,38,29
112030107_Carrazedo_Nuts plantations,112030107,Carrazedo,Nuts plantations,0,7,7,0
112030107_Carrazedo_Vineyards,112030107,Carrazedo,Vineyards,17,89,95,146
112030107_Carrazedo_Other permanent crops,112030107,Carrazedo,Other permanent crops,0,0,0,0
112030108_Dornelas_Citrus plantations,112030108,Dornelas,Citrus plantations,10,11,14,12
112030108_Dornelas_Olive plantations,112030108,Dornelas,Olive plantations,7,3,2,2
112030108_Dornelas_Fresh fruit plantations (excluding citrus plantations),112030108,Dornelas,Fresh fruit plantations (excluding citrus plantations),7,1,2,12
112030108_Dornelas_Fruit plantations (subtropical climate zones),112030108,Dornelas,Fruit plantations (subtropical climate zones),0,2,9,9
112030108_Dornelas_Nuts plantations,112030108,Dornelas,Nuts plantations,0,0,1,1
112030108_Dornelas_Vineyards,112030108,Dornelas,Vineyards,37,42,25,30
112030108_Dornelas_Other permanent crops,112030108,Dornelas,Other permanent crops,0,0,0,0
112030111_Fiscal_Citrus plantations,112030111,Fiscal,Citrus plantations,5,6,4,2
112030111_Fiscal_Olive plantations,112030111,Fiscal,Olive plantations,2,0,0,1
112030111_Fiscal_Fresh fruit plantations (excluding citrus plantations),112030111,Fiscal,Fresh fruit plantations (excluding citrus plantations),4,4,2,4
112030111_Fiscal_Fruit plantations (subtropical climate zones),112030111,Fiscal,Fruit plantations (subtropical climate zones),0,0,1,2
112030111_Fiscal_Nuts plantations,112030111,Fiscal,Nuts plantations,1,1,0,1
112030111_Fiscal_Vineyards,112030111,Fiscal,Vineyards,63,40,27,25
112030111_Fiscal_Other permanent crops,112030111,Fiscal,Other permanent crops,0,0,0,0
112030112_Goães_Citrus plantations,112030112,Goães,Citrus plantations,19,19,13,8
112030112_Goães_Olive plantations,112030112,Goães,Olive plantations,5,3,3,3
112030112_Goães_Fresh fruit plantations (excluding citrus plantations),112030112,Goães,Fresh fruit plantations (excluding citrus plantations),1,2,1,2
112030112_Goães_Fruit plantations (subtropical climate zones),112030112,Goães,Fruit plantations (subtropical climate zones),0,0,0,6
112030112_Goães_Nuts plantations,112030112,Goães,Nuts plantations,0,0,1,1
112030112_Goães_Vineyards,112030112,Goães,Vineyards,31,25,16,11
112030112_Goães_Other permanent crops,112030112,Goães,Other permanent crops,0,0,0,0
112030113_Lago_Citrus plantations,112030113,Lago,Citrus plantations,1,0,0,2
112030113_Lago_Olive plantations,112030113,Lago,Olive plantations,0,0,0,0
112030113_Lago_Fresh fruit plantations (excluding citrus plantations),112030113,Lago,Fresh fruit plantations (excluding citrus plantations),6,1,0,2
112030113_Lago_Fruit plantations (subtropical climate zones),112030113,Lago,Fruit plantations (subtropical climate zones),0,0,0,20
112030113_Lago_Nuts plantations,112030113,Lago,Nuts plantations,0,1,0,2
112030113_Lago_Vineyards,112030113,Lago,Vineyards,72,38,16,8
112030113_Lago_Other permanent crops,112030113,Lago,Other permanent crops,0,0,0,0
112030118_Rendufe_Citrus plantations,112030118,Rendufe,Citrus plantations,0,1,1,2
112030118_Rendufe_Olive plantations,112030118,Rendufe,Olive plantations,0,0,0,12
112030118_Rendufe_Fresh fruit plantations (excluding citrus plantations),112030118,Rendufe,Fresh fruit plantations (excluding citrus plantations),1,3,1,2
112030118_Rendufe_Fruit plantations (subtropical climate zones),112030118,Rendufe,Fruit plantations (subtropical climate zones),0,0,5,4
112030118_Rendufe_Nuts plantations,112030118,Rendufe,Nuts plantations,0,0,0,0
112030118_Rendufe_Vineyards,112030118,Rendufe,Vineyards,13,123,76,79
112030118_Rendufe_Other permanent crops,112030118,Rendufe,Other permanent crops,0,0,0,0
112030119_Bouro (Santa Maria)_Citrus plantations,112030119,Bouro (Santa Maria),Citrus plantations,34,14,6,7
112030119_Bouro (Santa Maria)_Olive plantations,112030119,Bouro (Santa Maria),Olive plantations,0,2,0,0
112030119_Bouro (Santa Maria)_Fresh fruit plantations (excluding citrus plantations),112030119,Bouro (Santa Maria),Fresh fruit plantations (excluding citrus plantations),1,0,1,2
112030119_Bouro (Santa Maria)_Fruit plantations (subtropical climate zones),112030119,Bouro (Santa Maria),Fruit plantations (subtropical climate zones),0,0,0,0
112030119_Bouro (Santa Maria)_Nuts plantations,112030119,Bouro (Santa Maria),Nuts plantations,0,0,0,0
112030119_Bouro (Santa Maria)_Vineyards,112030119,Bouro (Santa Maria),Vineyards,40,26,12,18
112030119_Bouro (Santa Maria)_Other permanent crops,112030119,Bouro (Santa Maria),Other permanent crops,0,0,0,0
112030120_Bouro (Santa Marta)_Citrus plantations,112030120,Bouro (Santa Marta),Citrus plantations,23,15,7,9
112030120_Bouro (Santa Marta)_Olive plantations,112030120,Bouro (Santa Marta),Olive plantations,3,2,2,4
112030120_Bouro (Santa Marta)_Fresh fruit plantations (excluding citrus plantations),112030120,Bouro (Santa Marta),Fresh fruit plantations (excluding citrus plantations),1,1,1,1
112030120_Bouro (Santa Marta)_Fruit plantations (subtropical climate zones),112030120,Bouro (Santa Marta),Fruit plantations (subtropical climate zones),0,1,0,0
112030120_Bouro (Santa Marta)_Nuts plantations,112030120,Bouro (Santa Marta),Nuts plantations,0,1,0,0
112030120_Bouro (Santa Marta)_Vineyards,112030120,Bouro (Santa Marta),Vineyards,27,25,17,10
112030120_Bouro (Santa Marta)_Other permanent crops,112030120,Bouro (Santa Marta),Other permanent crops,0,0,0,0
112030125_União das freguesias de Amares e Figueiredo_Citrus plantations,112030125,União das freguesias de Amares e Figueiredo,Citrus plantations,8,5,5,12
112030125_União das freguesias de Amares e Figueiredo_Olive plantations,112030125,União das freguesias de Amares e Figueiredo,Olive plantations,3,0,2,1
112030125_União das freguesias de Amares e Figueiredo_Fresh fruit plantations (excluding citrus plantations),112030125,União das freguesias de Amares e Figueiredo,Fresh fruit plantations (excluding citrus plantations),7,13,4,8
112030125_União das freguesias de Amares e Figueiredo_Fruit plantations (subtropical climate zones),112030125,União das freguesias de Amares e Figueiredo,Fruit plantations (subtropical climate zones),3,8,1,2
112030125_União das freguesias de Amares e Figueiredo_Nuts plantations,112030125,União das freguesias de Amares e Figueiredo,Nuts plantations,0,0,1,0
112030125_União das freguesias de Amares e Figueiredo_Vineyards,112030125,União das freguesias de Amares e Figueiredo,Vineyards,37,20,20,20
112030125_União das freguesias de Amares e Figueiredo_Other permanent crops,112030125,União das freguesias de Amares e Figueiredo,Other permanent crops,0,1,0,0
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Citrus plantations",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Citrus plantations,10,4,2,2
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Olive plantations",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Olive plantations,7,1,0,0
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Fresh fruit plantations (excluding citrus plantations)",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Fresh fruit plantations (excluding citrus plantations),2,14,1,6
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Fruit plantations (subtropical climate zones)",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Fruit plantations (subtropical climate zones),0,0,4,2
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Nuts plantations",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Nuts plantations,3,0,0,1
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Vineyards",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Vineyards,64,39,24,14
"112030126_União das freguesias de Caldelas, Sequeiros e Paranhos_Other permanent crops",112030126,"União das freguesias de Caldelas, Sequeiros e Paranhos",Other permanent crops,0,0,0,0
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Citrus plantations",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Citrus plantations,26,21,9,12
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Olive plantations",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Olive plantations,4,1,2,2
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Fresh fruit plantations (excluding citrus plantations)",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Fresh fruit plantations (excluding citrus plantations),46,27,10,14
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Fruit plantations (subtropical climate zones)",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Fruit plantations (subtropical climate zones),5,21,17,35
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Nuts plantations",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Nuts plantations,2,1,2,3
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Vineyards",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Vineyards,123,114,81,51
"112030127_União das freguesias de Ferreiros, Prozelo e Besteiros_Other permanent crops",112030127,"União das freguesias de Ferreiros, Prozelo e Besteiros",Other permanent crops,0,0,3,3
112030128_União das freguesias de Torre e Portela_Citrus plantations,112030128,União das freguesias de Torre e Portela,Citrus plantations,10,9,3,1
112030128_União das freguesias de Torre e Portela_Olive plantations,112030128,União das freguesias de Torre e Portela,Olive plantations,2,1,1,0
112030128_União das freguesias de Torre e Portela_Fresh fruit plantations (excluding citrus plantations),112030128,União das freguesias de Torre e Portela,Fresh fruit plantations (excluding citrus plantations),1,1,1,6
112030128_União das freguesias de Torre e Portela_Fruit plantations (subtropical climate zones),112030128,União das freguesias de Torre e Portela,Fruit plantations (subtropical climate zones),4,4,0,8
112030128_União das freguesias de Torre e Portela_Nuts plantations,112030128,União das freguesias de Torre e Portela,Nuts plantations,1,1,0,0
112030128_União das freguesias de Torre e Portela_Vineyards,112030128,União das freguesias de Torre e Portela,Vineyards,25,21,16,12
112030128_União das freguesias de Torre e Portela_Other permanent crops,112030128,União das freguesias de Torre e Portela,Other permanent crops,0,0,0,0
