"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops"
"111160101",1989,43,18,60,60,3,0,0,0,0,9
"111160102",1999,31,27,19,41,5,0,0,0,0,15
"111160104",1989,38,32,46,57,1,0,0,0,0,17
"111160105",1989,43,19,30,69,3,0,0,0,0,5
"111160106",1989,175,89,30,221,9,0,0,0,0,68
"111160108",1989,72,20,4,82,3,0,0,0,0,19
"111160109",1999,57,29,39,83,5,0,0,0,0,27
"111160113",1989,106,45,4,118,11,0,0,0,0,23
"111160115",1989,154,73,55,144,7,0,2,2,0,42
"111160121",1989,87,27,191,43,4,0,0,0,0,20
"111160122",1989,81,45,29,87,5,0,0,1,0,38
"111160123",1999,34,31,14,46,2,0,0,1,1,25
"111160124",1989,55,18,10,93,5,0,0,0,0,24
"111160125",1989,35,25,45,100,6,0,0,0,0,9
"111160128",1989,72,61,38,115,12,0,0,1,0,34
"111160130",1989,148,66,135,185,10,0,0,0,0,38
"111160131",1999,63,30,49,88,6,0,0,0,0,30
"111160133",1989,59,29,58,95,8,0,0,0,0,26
"111160142",1989,66,25,15,85,4,0,0,1,0,22
"111160144",1989,57,26,62,63,7,0,0,0,0,26
"111160145",1989,105,50,26,111,5,0,0,0,0,45
"111160146",1999,139,80,27,132,7,0,0,0,0,93
"111160149",1989,105,90,96,198,6,0,0,0,0,48
"111160152",1989,77,43,48,126,3,0,0,1,0,27
"111160153",1989,53,43,20,112,5,0,1,2,0,27
"111160154",1989,43,26,25,53,5,0,0,2,0,17
"111160155",1999,76,43,52,113,10,0,0,0,0,19
"111160156",1989,82,48,50,124,6,0,0,1,0,25
"111160157",1989,95,44,36,136,6,0,0,1,0,34
"111160158",1989,92,50,72,123,7,0,0,1,0,26
"111160159",1989,79,23,47,86,3,0,0,1,0,23
"111160160",1999,59,33,44,80,4,0,0,2,0,7
"111160161",1989,143,78,59,185,5,0,0,0,0,65
"111160162",1989,75,30,38,90,7,0,0,0,0,25
"111160163",1989,161,98,52,167,15,0,0,1,0,79
"111160164",1989,93,52,105,125,5,0,0,0,3,23
"1111602",1999,297,20,72,476,33,0,0,3,17,36
"111160201",1989,97,27,41,146,8,0,0,1,1,20
"111160205",1989,69,13,10,49,5,0,0,0,0,88
"111160209",1989,50,5,34,58,6,0,0,0,0,7
"111160211",1989,19,1,5,6,3,0,0,0,0,15
"111160214",1999,99,37,40,124,10,0,0,2,0,41
"111160215",1989,9,3,3,8,4,0,0,0,1,12
"111160217",1989,37,7,15,38,4,0,0,2,3,2
"111160218",1989,59,9,18,65,7,0,0,0,1,69
"111160220",1989,37,10,18,53,2,0,0,0,14,18
"111160221",1999,74,3,73,143,7,0,0,0,0,10
"111160222",1989,32,4,10,44,2,0,0,1,0,1
"111160223",1989,88,29,40,115,6,0,0,0,0,19
"111160224",1989,34,7,11,44,4,0,0,0,0,1
"111160225",1989,96,20,34,125,8,0,0,1,1,19
"1111603",1999,285,54,110,401,84,0,0,1,0,9
"111160301",1989,43,32,8,62,4,0,0,2,0,3
"111160304",1989,22,16,14,66,6,0,0,1,0,2
"111160305",1989,36,36,27,80,56,0,0,3,0,4
"111160307",1989,61,26,51,51,42,0,0,4,0,3
"111160308",1999,65,21,7,76,2,0,0,0,0,14
"111160311",1989,254,221,13,304,29,0,0,0,0,18
"111160313",1989,31,20,14,75,6,0,0,0,0,2
"111160317",1989,63,31,22,104,15,0,0,2,0,13
"111160319",1989,62,2,59,25,58,0,0,0,0,0
"111160320",1999,74,42,52,112,55,0,0,7,0,5
"111160321",1989,108,59,90,111,19,0,0,0,0,12
"111160322",1989,42,22,3,38,14,0,0,0,0,2
"111160323",1989,68,46,50,116,39,0,0,3,0,5
"1111604",1999,842,127,455,1188,103,0,0,9,2,66
"111160401",1999,99,33,22,127,4,0,0,0,0,5
"111160404",1989,104,46,27,156,14,0,0,5,0,7
"111160405",1989,82,37,13,114,3,0,0,0,0,5
"111160406",1989,88,24,9,40,15,0,0,4,0,7
"111160407",1989,70,22,13,86,4,0,0,2,0,6
"111160410",1999,34,17,8,66,6,0,0,0,0,1
"111160411",1989,204,72,34,283,5,0,2,3,0,6
"111160415",1989,450,114,59,459,12,0,0,1,0,9
"111160418",1989,107,30,35,137,5,0,0,2,0,7
"111160420",1989,112,32,35,199,25,0,0,3,0,7
"111160421",1999,56,13,13,125,4,0,0,1,0,7
"111160422",1989,65,16,6,69,2,0,0,2,0,3
"111160423",1989,127,48,13,169,2,0,0,0,0,6
"111160424",1989,202,62,43,259,13,0,0,1,0,11
"111160427",1989,45,23,14,66,4,0,0,1,0,3
"111160428",1999,354,89,26,429,11,0,0,0,0,15
"111160431",1989,61,47,17,103,2,0,0,0,0,5
"111160434",1989,117,35,34,149,4,0,0,0,2,8
"111160435",1989,102,30,24,136,5,0,0,0,0,9
"111160436",1989,98,18,38,127,78,0,0,20,1,4
"111160437",1999,91,32,76,148,7,0,0,1,0,9
"111160438",1989,44,16,13,65,10,0,0,2,1,3
"111160439",1989,101,35,20,94,9,0,0,1,0,3
"111160440",1989,35,5,9,40,32,0,0,4,0,1
"1111605",1999,529,93,1044,1191,92,0,0,2,32,48
"111160501",1999,34,32,56,47,5,0,0,0,0,25
"111160503",1989,78,72,56,102,9,0,0,0,0,58
"111160505",1989,70,41,47,115,12,0,0,0,0,11
"111160507",1989,60,57,109,86,7,0,0,0,0,34
"111160510",1989,46,37,90,76,6,0,0,0,0,16
"111160513",1999,31,19,42,55,4,0,0,1,0,11
"111160514",1989,72,45,81,121,8,0,0,1,0,28
"111160515",1989,40,27,48,66,5,0,0,0,0,21
"111160519",1989,32,31,46,39,2,0,0,0,32,26
"111160520",1989,81,51,82,147,9,0,0,0,1,16
"111160521",1999,21,14,67,45,7,0,0,0,0,13
"111160522",1989,91,69,170,144,13,0,0,0,0,55
"111160523",1989,73,42,61,118,8,0,0,1,1,12
"111160524",1989,73,68,179,159,21,0,0,1,0,34
"111160525",1989,54,32,252,185,33,0,0,0,0,26
"111160526",1999,76,57,79,121,16,0,0,0,3,28
"1111606",1999,619,169,251,757,73,0,0,12,1,57
"111160601",1989,103,21,13,98,7,0,0,0,0,30
"111160602",1989,91,27,44,92,6,0,0,1,0,24
"111160603",1989,105,20,23,84,2,0,0,0,0,48
"111160604",1999,67,19,5,79,3,0,0,0,0,2
"111160606",1989,76,41,13,76,8,0,0,0,0,39
"111160611",1989,177,52,44,215,18,0,0,4,0,45
"111160612",1989,139,20,1,127,5,0,0,0,0,2
"111160613",1989,57,29,11,65,8,0,0,1,0,27
"111160614",1999,73,7,30,101,2,0,0,1,0,20
"111160619",1989,85,43,21,85,11,0,0,0,0,48
"111160623",1989,40,13,10,48,5,0,0,1,0,8
"111160624",1989,59,30,6,71,3,0,0,6,0,20
"111160626",1989,182,91,63,213,15,0,0,8,0,71
"111160627",1999,103,52,16,100,5,0,0,0,0,32
"111160628",1989,164,36,15,88,17,0,2,2,1,49
"111160629",1989,57,15,24,59,1,0,0,0,0,17
"111160630",1989,140,61,37,159,6,0,0,0,0,44
"1111607",1999,2662,240,347,4576,168,0,1,59,15,482
"111160701",1999,193,45,9,223,6,0,1,2,1,37
"111160703",1989,188,35,4,168,8,0,0,0,0,29
"111160704",1989,213,67,23,239,13,0,0,13,1,116
"111160707",1989,141,38,27,173,4,0,0,0,0,24
"111160708",1989,61,9,12,109,5,0,0,3,2,14
"111160709",1999,53,17,14,54,2,0,0,0,0,8
"111160710",1989,59,35,1,88,5,0,0,2,0,36
"111160713",1989,158,48,2,177,22,0,0,2,0,57
"111160714",1989,129,44,9,181,7,0,0,2,1,85
"111160716",1989,345,74,2,516,25,0,0,3,2,69
"111160717",1999,66,18,7,67,4,0,0,1,0,12
"111160718",1989,189,80,11,276,9,0,0,1,1,58
"111160719",1989,71,21,7,94,3,0,0,0,0,18
"111160721",1989,138,33,10,261,8,0,0,0,0,32
"111160724",1989,86,48,20,136,9,0,0,2,0,38
"111160726",1999,167,11,13,209,8,0,0,2,0,20
"111160727",1989,143,42,11,135,3,0,0,1,0,56
"111160728",1989,105,21,8,112,5,0,0,2,0,27
"111160729",1989,61,59,12,70,6,0,0,0,0,44
"111160734",1989,84,33,14,343,12,0,0,4,1,80
"111160737",1999,399,81,34,457,14,0,0,5,0,159
"111160739",1989,247,74,7,263,6,0,0,5,0,68
"111160740",1989,70,14,1,78,5,0,0,3,3,17
"111160742",1989,39,10,0,54,4,0,0,0,1,8
"111160743",1989,51,11,11,48,5,0,0,2,0,22
"111160744",1999,88,38,7,131,15,0,0,3,0,33
"111160745",1989,77,23,9,119,3,0,0,1,0,15
"111160746",1989,96,33,18,111,4,0,0,3,0,26
"111160747",1989,173,68,6,289,16,0,0,6,0,14
"111160750",1989,119,31,6,171,6,0,0,2,0,41
"111160752",1999,30,5,14,50,4,0,0,0,2,5
"111160753",1989,130,81,34,346,24,0,0,9,1,97
"111160754",1989,157,95,38,353,31,0,0,11,1,83
"111160755",1989,125,55,13,159,8,0,0,5,0,53
"111160756",1989,134,96,8,213,22,0,0,7,1,106
"111160757",1999,134,38,8,173,9,0,0,4,3,100
"111160758",1989,312,126,35,454,17,0,0,7,0,127
"111160759",1989,101,98,74,109,13,0,0,1,0,60
"111160760",1989,175,59,17,280,20,0,0,4,0,90
"1111608",1999,630,25,150,642,54,0,0,13,7,39
"111160802",1999,43,21,7,22,3,0,0,1,0,37
"111160803",1989,129,112,62,279,20,0,0,3,1,56
"111160805",1989,159,57,37,207,9,0,0,1,2,31
"111160806",1989,28,20,1,25,5,0,0,0,0,4
"111160808",1989,103,33,10,106,9,0,0,2,1,13
"111160812",1999,82,9,1,41,18,0,0,1,1,2
"111160816",1989,35,16,4,78,7,0,0,0,1,3
"111160817",1989,109,55,48,201,13,0,0,1,0,39
"111160818",1989,77,56,20,76,6,0,0,0,0,42
"111160819",1989,181,38,57,217,10,0,0,4,4,42
"111160820",1999,60,27,39,92,12,0,0,5,2,10
"1111609",1999,1644,86,165,3656,196,0,4,34,38,322
"111160901",1989,41,20,0,142,21,0,0,2,0,2
"111160902",1989,140,87,19,166,30,0,0,3,2,173
"111160903",1989,36,25,2,78,2,0,0,0,0,2
"111160904",1999,82,11,34,128,10,0,0,9,2,33
"111160905",1989,124,42,1,125,42,0,0,3,0,57
"111160908",1989,62,32,6,327,11,0,4,2,3,6
"111160910",1989,146,86,8,180,74,0,0,7,0,66
"111160911",1989,15,2,3,38,4,0,0,4,1,6
"111160914",1999,44,16,14,137,10,0,0,1,0,10
"111160915",1989,124,26,6,198,15,0,0,3,1,100
"111160920",1989,87,30,10,119,7,0,0,0,0,11
"111160922",1989,31,12,7,51,15,0,0,13,1,9
"111160923",1989,63,54,27,65,21,0,0,3,2,103
"111160925",1999,90,54,30,184,17,0,0,4,0,33
"111160926",1989,127,54,3,332,34,0,0,3,0,59
"111160928",1989,116,42,13,294,31,0,0,11,1,56
"111160935",1989,103,63,9,163,23,0,0,4,7,44
"111160938",1989,57,42,13,125,27,0,0,8,0,80
"111160940",1999,82,8,39,149,22,0,0,10,5,43
"111160941",1989,189,98,16,305,44,0,0,13,10,106
"111160942",1989,81,45,1,128,17,0,0,1,4,17
"111160943",1989,328,229,29,392,60,0,0,8,0,298
"111160944",1989,101,76,3,158,25,0,0,2,17,100
"111160945",1999,209,101,24,322,19,0,0,3,1,39
"111160946",1989,251,50,17,305,41,0,0,3,1,69
"111160947",1989,96,37,4,224,13,0,0,4,1,30
"111160948",1989,83,26,4,95,35,0,0,2,1,40
"1111610",1999,258,11,92,660,32,0,0,2,2,7
"111161003",1999,89,4,11,121,4,0,0,0,0,5
"111161004",1989,130,56,27,139,16,0,0,0,0,108
"111161006",1989,24,0,13,50,8,0,0,1,0,7
"111161007",1989,15,1,20,35,5,0,0,1,1,3
"111161009",1989,92,41,8,89,16,0,0,0,0,76
"111161012",1999,86,12,41,45,4,0,0,0,0,4
"111161013",1989,35,1,30,57,7,0,0,0,0,6
"111161016",1989,151,11,12,208,11,0,0,0,0,36
"111161017",1989,99,32,17,77,8,0,0,0,0,36
"111161018",1989,155,6,9,183,9,0,0,0,0,32
"111161019",1999,28,2,5,113,5,0,0,0,0,9
"112",1999,7158,535,1544,30251,939,0,22,785,78,1701
"1120301",1999,754,66,118,1159,58,0,1,46,8,52
"112030102",1989,45,45,1,77,3,0,0,2,1,1
"112030104",1989,24,21,1,44,2,0,0,2,0,0
"112030105",1999,52,26,8,87,9,0,0,5,0,3
"112030107",1989,58,15,11,179,2,0,0,2,1,14
"112030108",1989,97,14,5,116,9,0,0,4,0,2
"112030111",1989,100,84,9,148,8,0,0,10,1,7
"112030112",1989,47,17,7,55,4,0,0,3,5,3
"112030113",1999,57,29,17,40,14,0,0,3,2,1
"112030118",1989,51,39,14,128,4,0,0,7,1,0
"112030119",1989,56,38,34,72,5,0,0,1,0,1
"112030120",1989,74,39,32,101,8,0,0,4,1,9
"112030125",1989,124,26,11,105,13,0,0,17,2,3
"112030126",1999,209,145,25,293,7,0,0,5,0,22
"112030127",1989,116,34,14,123,10,0,0,7,0,53
"112030128",1989,88,65,2,124,3,0,0,11,0,15
"112030129",1989,188,49,22,201,9,0,0,5,0,2
"1120302",1999,1306,75,148,17782,327,0,9,146,28,624
"112030201",1999,92,19,14,286,17,0,0,1,1,7
"112030202",1989,31,12,12,110,8,0,0,0,0,6
"112030203",1989,46,10,21,193,25,0,0,3,0,0
"112030205",1989,68,12,35,155,26,0,0,4,0,12
"112030206",1989,38,15,21,209,10,0,0,1,0,15
"112030208",1999,32,8,32,267,20,0,0,1,1,8
"112030209",1989,21,5,19,146,7,0,0,0,0,1
"112030210",1989,7,4,3,60,2,0,4,0,0,1
"112030212",1989,28,16,15,116,7,0,0,2,0,10
"112030213",1989,17,7,15,179,7,0,0,2,1,1
"112030215",1999,73,12,48,416,31,0,0,33,0,7
"112030216",1989,27,14,15,299,20,0,0,0,1,11
"112030218",1989,92,37,41,138,4,0,0,0,0,62
"112030220",1989,29,9,12,202,12,0,0,1,1,1
"112030221",1989,24,15,5,156,7,0,0,0,1,8
"112030224",1999,66,28,33,341,15,0,1,0,2,30
"112030228",1989,75,23,65,950,41,0,0,11,1,7
"112030234",1989,58,1,31,269,8,0,0,5,0,31
"112030235",1989,102,22,23,201,33,0,0,2,1,25
"112030237",1989,63,2,36,179,6,0,0,6,0,35
"112030242",1999,41,4,17,113,7,0,0,0,0,9
"112030243",1989,61,27,36,314,16,0,0,1,0,25
"112030244",1989,77,24,13,904,87,0,0,18,0,16
"112030245",1989,18,5,28,373,9,0,0,1,1,0
"112030247",1989,65,33,61,159,17,0,0,8,1,7
"112030252",1999,42,26,4,174,14,0,0,5,0,13
"112030254",1989,79,19,40,147,10,0,0,0,0,20
"112030255",1989,94,86,12,174,14,0,0,1,0,85
"112030256",1989,85,17,21,213,20,0,0,1,0,20
"112030257",1989,53,18,34,605,9,0,0,4,0,6
"112030259",1999,45,12,21,176,25,0,0,2,1,8
"112030260",1989,80,35,49,216,28,0,0,1,0,4
"112030261",1989,62,26,18,217,20,0,0,13,3,4
"112030263",1989,76,32,5,482,23,0,0,2,1,7
"112030264",1989,122,43,84,583,17,0,0,3,0,43
"112030265",1999,21,4,21,194,9,0,0,1,0,7
"112030268",1989,30,4,10,104,8,0,0,0,0,4
"112030272",1989,17,4,11,75,6,0,0,0,0,0
"112030277",1989,30,11,19,134,11,0,0,0,0,1
"112030279",1989,25,14,10,94,10,0,0,0,0,4
"112030282",1999,48,9,4,270,8,0,7,0,0,1
"112030283",1989,39,17,40,118,15,0,0,1,3,8
"112030287",1989,113,7,82,462,25,0,0,23,1,77
"112030290",1989,115,51,36,291,22,0,0,1,1,37
